dagger,month,no,date,time,soil_temp,surfacetemp,air_temp,hu,?
f1,sep,216,24.09.2023,06:00:00,10.9375,11.875,12.375,1746,202
f1,sep,217,24.09.2023,06:15:00,11,12.0625,12.6875,1745,202
f1,sep,218,24.09.2023,06:30:00,11.0625,12.375,12.875,1745,202
f1,sep,219,24.09.2023,06:45:00,11.125,12.625,13.25,1744,202
f1,sep,220,24.09.2023,07:00:00,11.25,12.75,13.25,1743,202
f1,sep,221,24.09.2023,07:15:00,11.3125,13.0625,13.625,1757,202
f1,sep,222,24.09.2023,07:30:00,11.375,13.125,13.75,1753,202
f1,sep,223,24.09.2023,07:45:00,11.5,13.625,14.25,1758,202
f1,sep,224,24.09.2023,08:00:00,11.625,13.75,14.125,1741,202
f1,sep,225,24.09.2023,08:15:00,11.75,14.1875,14.625,1741,202
f1,sep,226,24.09.2023,08:30:00,11.875,14.6875,15.25,1740,202
f1,sep,227,24.09.2023,08:45:00,12.0625,15.375,15.75,1741,202
f1,sep,228,24.09.2023,09:00:00,12.25,15.5625,15.875,1739,202
f1,sep,229,24.09.2023,09:15:00,12.375,15.5,15.75,1737,202
f1,sep,230,24.09.2023,09:30:00,12.5,15.875,16.3125,1736,202
f1,sep,231,24.09.2023,09:45:00,12.6875,16.4375,16.875,1736,202
f1,sep,232,24.09.2023,10:00:00,12.875,18.25,18.375,1736,202
f1,sep,233,24.09.2023,10:15:00,13.125,17.125,17,1729,202
f1,sep,234,24.09.2023,10:30:00,13.3125,17,17.1875,1725,202
f1,sep,235,24.09.2023,10:45:00,13.4375,17.375,17.125,1721,202
f1,sep,236,24.09.2023,11:00:00,13.625,19.125,18.875,1722,202
f1,sep,237,24.09.2023,11:15:00,13.8125,18.4375,18.25,1715,202
f1,sep,238,24.09.2023,11:30:00,14,17.4375,17.375,1708,202
f1,sep,239,24.09.2023,11:45:00,14,17.375,17.625,1702,202
f1,sep,240,24.09.2023,12:00:00,14.0625,17,17.125,1697,202
f1,sep,241,24.09.2023,12:15:00,14.125,17.375,17.5625,1695,202
f1,sep,242,24.09.2023,12:30:00,14.125,17.75,17.875,1692,202
f1,sep,243,24.09.2023,12:45:00,14.25,17.375,17.5625,1688,202
f1,sep,244,24.09.2023,13:00:00,14.25,17.25,17.5,1686,202
f1,sep,245,24.09.2023,13:15:00,14.3125,17.125,17.5,1685,202
f1,sep,246,24.09.2023,13:30:00,14.3125,16.75,17.125,1682,202
f1,sep,247,24.09.2023,13:45:00,14.3125,16.75,17.1875,1681,202
f1,sep,248,24.09.2023,14:00:00,14.375,16.375,16.625,1681,202
f1,sep,249,24.09.2023,14:15:00,14.375,16.5625,16.875,1683,202
f1,sep,250,24.09.2023,14:30:00,14.375,16.125,16.5,1684,202
f1,sep,251,24.09.2023,14:45:00,14.375,15.875,16.375,1699,202
f1,sep,252,24.09.2023,15:00:00,14.375,15.75,16.0625,1709,202
f1,sep,253,24.09.2023,15:15:00,14.375,15.5,15.75,1709,202
f1,sep,254,24.09.2023,15:30:00,14.375,15.625,16,1707,202
f1,sep,255,24.09.2023,15:45:00,14.375,15.5625,16.125,1704,202
f1,sep,256,24.09.2023,16:00:00,14.375,15.6875,16.1875,1701,202
f1,sep,257,24.09.2023,16:15:00,14.375,15.25,15.25,1738,202
f1,sep,258,24.09.2023,16:30:00,14.375,15.0625,15.25,1747,202
f1,sep,259,24.09.2023,16:45:00,14.375,14.8125,15.0625,1736,202
f1,sep,260,24.09.2023,17:00:00,14.3125,14.75,15.25,1728,202
f1,sep,261,24.09.2023,17:15:00,14.25,15.125,15.75,1722,202
f1,sep,262,24.09.2023,17:30:00,14.25,15.375,16,1715,202
f1,sep,263,24.09.2023,17:45:00,14.125,15.375,16.125,1707,202
f1,sep,264,24.09.2023,18:00:00,14.125,15.25,16,1701,202
f1,sep,265,24.09.2023,18:15:00,14,15.125,15.875,1696,202
f1,sep,266,24.09.2023,18:30:00,13.9375,15,15.75,1692,202
f1,sep,267,24.09.2023,18:45:00,13.875,14.5,15,1688,202
f1,sep,268,24.09.2023,19:00:00,13.8125,14.25,14.875,1683,202
f1,sep,269,24.09.2023,19:15:00,13.75,14.5625,15.25,1681,202
f1,sep,270,24.09.2023,19:30:00,13.625,14.625,15.125,1679,202
f1,sep,271,24.09.2023,19:45:00,13.625,14.125,14.5,1675,202
f1,sep,272,24.09.2023,20:00:00,13.5625,14,14.5,1675,202
f1,sep,273,24.09.2023,20:15:00,13.5,14.0625,14.75,1674,202
f1,sep,274,24.09.2023,20:30:00,13.5,14,14.25,1677,202
f1,sep,275,24.09.2023,20:45:00,13.5,13.875,14.25,1717,202
f1,sep,276,24.09.2023,21:00:00,13.5,14,14.5625,1720,202
f1,sep,277,24.09.2023,21:15:00,13.5,14,14.375,1726,202
f1,sep,278,24.09.2023,21:30:00,13.5,14,14.375,1722,202
f1,sep,279,24.09.2023,21:45:00,13.5,14.1875,14.5625,1851,202
f1,sep,280,24.09.2023,22:00:00,13.5625,14.125,14.5,2116,202
f1,sep,281,24.09.2023,22:15:00,13.625,13.4375,13.625,2090,202
f1,sep,282,24.09.2023,22:30:00,13.5,12.75,13.25,2026,202
f1,sep,283,24.09.2023,22:45:00,13.5,12.375,12.9375,1996,202
f1,sep,284,24.09.2023,23:00:00,13.375,12,12.625,1976,202
f1,sep,285,24.09.2023,23:15:00,13.25,12.0625,12.75,1958,202
f1,sep,286,24.09.2023,23:30:00,13.125,11.875,12.75,1947,202
f1,sep,287,24.09.2023,23:45:00,13,11.9375,12.8125,1937,202
f1,sep,288,25.09.2023,00:00:00,13,11.625,12.25,1930,202
f1,sep,289,25.09.2023,00:15:00,12.75,11.375,12.125,1924,202
f1,sep,290,25.09.2023,00:30:00,12.625,11.25,12.0625,1917,202
f1,sep,291,25.09.2023,00:45:00,12.5,11.125,11.8125,1911,202
f1,sep,292,25.09.2023,01:00:00,12.375,11.125,11.9375,1907,202
f1,sep,293,25.09.2023,01:15:00,12.3125,11.125,11.9375,1904,202
f1,sep,294,25.09.2023,01:30:00,12.25,11,11.875,1897,202
f1,sep,295,25.09.2023,01:45:00,12.125,10.875,11.75,1893,202
f1,sep,296,25.09.2023,02:00:00,12.0625,10.9375,11.875,1889,202
f1,sep,297,25.09.2023,02:15:00,12,10.875,11.75,1886,202
f1,sep,298,25.09.2023,02:30:00,11.9375,11,11.875,1884,202
f1,sep,299,25.09.2023,02:45:00,11.875,11.0625,12,1879,202
f1,sep,300,25.09.2023,03:00:00,11.8125,11.125,12,1876,202
f1,sep,301,25.09.2023,03:15:00,11.75,11.0625,12,1873,202
f1,sep,302,25.09.2023,03:30:00,11.6875,11.125,12,1870,202
f1,sep,303,25.09.2023,03:45:00,11.625,11.125,12.0625,1868,202
f1,sep,304,25.09.2023,04:00:00,11.625,11.25,12.125,1865,202
f1,sep,305,25.09.2023,04:15:00,11.5625,11.5,12.25,1864,202
f1,sep,306,25.09.2023,04:30:00,11.5,11.375,12.25,1862,202
f1,sep,307,25.09.2023,04:45:00,11.5,11.25,12.125,1860,202
f1,sep,308,25.09.2023,05:00:00,11.5,11.375,12.1875,1859,202
f1,sep,309,25.09.2023,05:15:00,11.5,12,12.75,1858,202
f1,sep,310,25.09.2023,05:30:00,11.5,12.25,12.75,1857,202
f1,sep,311,25.09.2023,05:45:00,11.625,12,12.625,1855,202
f1,sep,312,25.09.2023,06:00:00,11.625,11.625,12.375,1853,202
f1,sep,313,25.09.2023,06:15:00,11.625,11.75,12.5,1852,202
f1,sep,314,25.09.2023,06:30:00,11.625,11.875,12.625,1851,202
f1,sep,315,25.09.2023,06:45:00,11.625,12.5,13.125,1851,202
f1,sep,316,25.09.2023,07:00:00,11.625,12.625,13.125,1850,202
f1,sep,317,25.09.2023,07:15:00,11.75,12.75,13.1875,1850,202
f1,sep,318,25.09.2023,07:30:00,11.75,13,13.4375,1851,202
f1,sep,319,25.09.2023,07:45:00,11.875,13.0625,13.5,1849,202
f1,sep,320,25.09.2023,08:00:00,11.875,13.375,13.6875,1848,202
f1,sep,321,25.09.2023,08:15:00,12,13.75,14.0625,1848,202
f1,sep,322,25.09.2023,08:30:00,12.0625,13.3125,13.625,1846,202
f1,sep,323,25.09.2023,08:45:00,12.125,13,13.3125,1847,202
f1,sep,324,25.09.2023,09:00:00,12.25,13.5,14,1850,202
f1,sep,325,25.09.2023,09:15:00,12.3125,13.9375,14.6875,1849,202
f1,sep,326,25.09.2023,09:30:00,12.375,14,14.3125,1846,202
f1,sep,327,25.09.2023,09:45:00,12.5,13.125,13.125,1865,202
f1,sep,328,25.09.2023,10:00:00,12.5625,14,14.25,1854,202
f1,sep,329,25.09.2023,10:15:00,12.6875,14.6875,15,1849,202
f1,sep,330,25.09.2023,10:30:00,12.8125,15.5,15.75,1846,202
f1,sep,331,25.09.2023,10:45:00,12.9375,15.625,15.9375,1844,202
f1,sep,332,25.09.2023,11:00:00,13.0625,15.75,15.875,1837,202
f1,sep,333,25.09.2023,11:15:00,13.1875,16.25,16.1875,1834,202
f1,sep,334,25.09.2023,11:30:00,13.25,16.4375,16.375,1831,202
f1,sep,335,25.09.2023,11:45:00,13.375,15.9375,15.8125,1826,202
f1,sep,336,25.09.2023,12:00:00,13.375,15.75,16,1822,202
f1,sep,337,25.09.2023,12:15:00,13.5,16.875,17,1820,202
f1,sep,338,25.09.2023,12:30:00,13.5,17.5,17.75,1813,202
f1,sep,339,25.09.2023,12:45:00,13.625,16.9375,16.875,1809,202
f1,sep,340,25.09.2023,13:00:00,13.75,17.5,17.375,1807,202
f1,sep,341,25.09.2023,13:15:00,13.875,19.5,19.125,1808,202
f1,sep,342,25.09.2023,13:30:00,14.0625,18.25,17.75,1800,202
f1,sep,343,25.09.2023,13:45:00,14.1875,17.25,17.0625,1791,202
f1,sep,344,25.09.2023,14:00:00,14.1875,17.75,16.875,1827,202
f1,sep,345,25.09.2023,14:15:00,14.25,15.625,15.5,1782,202
f1,sep,346,25.09.2023,14:30:00,14.1875,16.1875,16.25,1779,202
f1,sep,347,25.09.2023,14:45:00,14.1875,17.0625,16.75,1778,202
f1,sep,348,25.09.2023,15:00:00,14.25,18,17.75,1777,202
f1,sep,349,25.09.2023,15:15:00,14.25,17.5,17.125,1772,202
f1,sep,350,25.09.2023,15:30:00,14.25,17.375,17.25,1770,202
f1,sep,351,25.09.2023,15:45:00,14.25,15.5,15.625,1764,202
f1,sep,352,25.09.2023,16:00:00,14.25,16.125,16.25,1763,202
f1,sep,353,25.09.2023,16:15:00,14.125,16,16.25,1759,202
f1,sep,354,25.09.2023,16:30:00,14.0625,15.6875,16.1875,1756,202
f1,sep,355,25.09.2023,16:45:00,14,15.4375,15.9375,1755,202
f1,sep,356,25.09.2023,17:00:00,13.875,13.875,14.375,1749,202
f1,sep,357,25.09.2023,17:15:00,13.75,13.375,14,1747,202
f1,sep,358,25.09.2023,17:30:00,13.625,12.875,13.5625,1744,202
f1,sep,359,25.09.2023,17:45:00,13.4375,12.5,13.25,1742,202
f1,sep,360,25.09.2023,18:00:00,13.25,12.125,12.875,1741,202
f1,sep,361,25.09.2023,18:15:00,13.125,12,12.875,1738,202
f1,sep,362,25.09.2023,18:30:00,13,11.5,12.375,1737,202
f1,sep,363,25.09.2023,18:45:00,12.875,11,11.875,1735,202
f1,sep,364,25.09.2023,19:00:00,12.75,11.125,12,1736,202
